2016-04-25 16:50:21,637 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.ksairamesh.devel:practiceProject:1.0-SNAPSHOT @ /Users/ksairamesh/MyJavaWS/practiceProject/pom.xml.
2016-04-25 16:50:22,089 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /practiceProject/src/main/java
2016-04-25 16:50:22,089 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /practiceProject/src/main/resources
2016-04-25 16:50:22,089 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /practiceProject/src/test/java
2016-04-25 16:50:23,567 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.ksairamesh.devel:practiceProject:1.0-SNAPSHOT @ /Users/ksairamesh/MyJavaWS/practiceProject/pom.xml.
2016-04-25 16:50:23,725 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 2 sec
2016-04-25 16:50:24,188 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.ksairamesh.devel:practiceProject:1.0-SNAPSHOT @ /Users/ksairamesh/MyJavaWS/practiceProject/pom.xml.
2016-04-25 16:50:24,373 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 16:50:24,377 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-25 16:50:24,379 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 16:50:24,380 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ksairamesh/MyJavaWS/practiceProject/src/test/resources
2016-04-25 16:51:12,734 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 16:51:12,736 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
